node1,node2,ans
449,134,
762,435,
18,642,
358,264,
69,108,
89,505,
340,114,
160,4,
235,759,
486,29,
561,713,
506,2,
533,155,
491,590,
202,569,
927,407,
473,463,
388,249,
429,301,
637,362,
732,490,
135,860,
107,58,
529,488,
405,183,
232,939,
934,892,
602,61,
152,416,
377,147,
570,122,
282,586,
571,522,
698,372,
720,390,
439,366,
370,40,
707,627,
292,796,
520,806,
262,940,
271,725,
833,727,
341,137,
516,195,
734,239,
615,714,
62,812,
971,9,
84,811,
83,118,
254,144,
54,738,
133,929,
431,281,
376,394,
648,475,
825,923,
604,537,
393,150,
395,874,
514,688,
62,769,
395,250,
21,816,
65,990,
86,185,
1000,773,
229,487,
837,875,
38,29,
5,325,
357,568,
93,133,
57,126,
426,683,
985,470,
282,427,
357,774,
39,28,
141,11,
907,851,
426,130,
286,305,
549,136,
847,443,
589,274,
114,533,
34,40,
994,149,
459,106,
963,237,
169,339,
39,303,
435,975,
254,128,
243,859,
617,979,
397,400,
251,168,
230,234,
258,101,
826,4,
603,347,
601,945,
753,170,
249,132,
559,406,
231,526,
6,327,
646,290,
431,152,
376,368,
233,828,
976,444,
354,100,
847,205,
803,609,
135,117,
217,142,
284,14,
357,454,
527,421,
377,782,
756,42,
504,24,
338,32,
896,356,
513,154,
659,890,
535,67,
457,294,
137,281,
618,243,
307,519,
152,526,
450,275,
281,46,
536,699,
419,91,
11,8,
890,52,
172,505,
287,74,
52,786,
306,509,
646,527,
393,114,
852,742,
949,369,
231,179,
572,930,
630,370,
157,174,
952,833,
23,165,
812,252,
109,502,
369,733,
121,278,
771,542,
471,421,
377,776,
406,277,
559,769,
321,904,
655,83,
67,108,
14,394,
140,334,
157,352,
493,473,
809,806,
349,677,
145,163,
60,283,
192,79,
290,108,
262,179,
41,859,
111,266,
377,385,
186,932,
462,561,
456,122,
522,631,
541,795,
376,390,
494,741,
187,663,
301,312,
549,173,
529,828,
424,493,
602,369,
533,147,
395,509,
760,301,
215,81,
64,349,
834,505,
121,647,
264,522,
88,303,
223,330,
352,404,
183,21,
266,555,
27,278,
154,129,
377,851,
333,7,
83,147,
518,422,
338,900,
65,334,
796,903,
93,149,
518,211,
118,738,
843,50,
161,637,
251,30,
273,311,
865,412,
395,755,
808,666,
763,875,
426,283,
377,320,
609,898,
496,340,
333,434,
434,137,
163,106,
147,759,
288,117,
25,28,
15,571,
896,83,
991,83,
301,269,
93,108,
285,304,
996,45,
437,165,
584,130,
420,249,
64,937,
107,282,
426,572,
42,296,
87,42,
171,26,
46,274,
439,83,
531,142,
375,507,
920,272,
21,550,
223,282,
129,130,
316,178,
11,529,
200,969,
284,255,
949,780,
824,186,
96,236,
84,317,
716,41,
262,298,
124,166,
565,396,
551,51,
174,65,
454,807,
419,932,
845,59,
162,478,
528,450,
169,828,
464,818,
945,730,
160,302,
349,818,
525,355,
18,797,
93,913,
264,266,
411,96,
183,545,
54,714,
564,258,
61,483,
51,199,
62,3,
555,283,
560,34,
477,672,
636,238,
483,178,
42,160,
547,73,
552,821,
187,316,
28,35,
349,394,
168,232,
160,17,
315,396,
232,397,
511,774,
368,14,
461,315,
222,310,
414,100,
273,461,
258,803,
298,465,
988,28,
896,810,
1004,100,
134,810,
362,870,
142,333,
258,423,
263,514,
371,563,
846,225,
86,218,
339,340,
129,107,
94,921,
506,270,
593,350,
4,880,
215,589,
160,832,
558,487,
691,988,
437,136,
824,456,
138,3,
15,261,
279,699,
837,358,
555,134,
366,74,
178,709,
438,494,
499,771,
430,680,
405,221,
161,447,
142,355,
96,89,
6,346,
338,107,
22,170,
17,872,
13,15,
90,916,
815,57,
637,178,
421,573,
971,950,
469,90,
73,560,
167,128,
670,168,
190,503,
638,617,
449,993,
508,658,
400,776,
461,20,
107,255,
62,571,
201,18,
131,830,
961,605,
129,286,
115,165,
379,16,
669,423,
845,651,
40,651,
486,168,
450,168,
417,309,
281,497,
74,438,
576,182,
17,405,
416,1000,
124,513,
187,710,
233,62,
194,117,
366,58,
285,688,
320,200,
834,607,
481,307,
555,754,
31,35,
853,481,
358,845,
82,541,
273,234,
266,525,
589,83,
44,358,
13,137,
957,700,
107,379,
422,194,
29,31,
81,129,
900,914,
240,41,
426,86,
460,183,
545,34,
423,171,
107,230,
44,121,
312,413,
474,615,
792,780,
1001,486,
131,163,
922,296,
300,45,
461,335,
178,952,
488,160,
29,438,
309,904,
651,420,
251,47,
533,188,
667,597,
520,216,
929,813,
440,497,
15,128,
152,283,
321,475,
876,187,
933,15,
772,65,
384,296,
61,52,
688,36,
306,160,
151,967,
489,593,
638,55,
100,768,
35,434,
8,160,
250,393,
281,6,
333,176,
504,160,
196,776,
315,820,
845,329,
158,598,
734,257,
429,328,
24,997,
359,502,
250,516,
733,321,
572,129,
104,61,
839,936,
17,441,
302,459,
269,572,
964,189,
845,58,
733,896,
428,212,
812,193,
82,401,
301,392,
14,61,
244,595,
281,990,
656,147,
495,106,
912,466,
121,4,
687,385,
995,944,
438,89,
32,417,
321,349,
113,339,
486,115,
286,815,
303,82,
854,685,
326,695,
563,129,
508,550,
393,650,
261,936,
969,967,
867,351,
49,520,
173,92,
129,161,
438,33,
507,429,
61,368,
398,178,
143,1003,
79,393,
114,173,
570,774,
110,474,
27,26,
145,591,
159,926,
159,788,
425,526,
737,886,
205,419,
256,355,
326,364,
453,472,
344,377,
970,546,
895,532,
365,451,
128,86,
95,14,
291,144,
160,251,
142,124,
74,21,
845,839,
791,19,
183,68,
94,859,
814,23,
509,952,
655,892,
6,389,
648,266,
283,263,
204,838,
362,702,
913,170,
183,236,
914,86,
615,168,
184,686,
31,30,
1004,181,
601,480,
114,405,
5,367,
187,2,
424,160,
408,306,
988,91,
763,766,
103,383,
787,958,
875,824,
147,615,
363,159,
181,149,
116,655,
914,924,
83,372,
891,126,
525,9,
543,113,
41,202,
481,3,
607,176,
213,519,
12,915,
13,489,
83,932,
177,331,
809,372,
547,449,
936,935,
411,646,
544,42,
697,121,
84,270,
189,853,
380,440,
330,608,
826,193,
196,988,
51,917,
438,588,
23,28,
250,806,
51,28,
488,529,
386,761,
56,126,
193,966,
432,679,
215,296,
153,152,
146,21,
516,842,
29,233,
999,371,
340,884,
844,49,
506,232,
5,468,
142,58,
82,303,
87,661,
196,177,
356,62,
446,447,
898,226,
401,788,
788,626,
925,333,
788,269,
424,641,
99,175,
335,545,
362,331,
823,4,
666,823,
158,806,
611,160,
539,160,
404,124,
218,459,
661,247,
797,602,
189,418,
227,545,
190,250,
128,283,
160,573,
58,88,
93,306,
65,51,
339,10,
7,773,
97,978,
557,918,
84,127,
56,309,
700,445,
761,960,
183,291,
203,117,
80,534,
106,83,
55,911,
606,492,
747,690,
121,453,
523,312,
361,827,
922,956,
64,87,
971,324,
157,751,
991,192,
889,300,
61,391,
5,188,
280,47,
63,283,
440,499,
264,12,
25,669,
76,151,
107,315,
612,137,
399,432,
171,5,
923,419,
25,133,
58,404,
212,147,
859,105,
128,27,
234,48,
537,207,
425,86,
290,282,
179,692,
34,244,
846,795,
69,38,
76,129,
351,203,
329,81,
211,303,
944,943,
226,227,
535,432,
750,709,
673,959,
564,242,
138,503,
349,402,
133,64,
991,312,
650,215,
267,436,
698,549,
169,116,
170,27,
796,343,
926,159,
998,24,
317,619,
450,419,
878,35,
385,994,
470,258,
873,372,
394,104,
424,170,
92,240,
101,733,
926,576,
34,113,
689,903,
689,58,
7,452,
763,577,
962,41,
563,464,
256,209,
290,206,
326,871,
317,897,
445,557,
25,543,
280,648,
273,4,
201,834,
424,839,
316,60,
115,422,
64,776,
170,36,
172,64,
145,180,
644,714,
117,307,
805,390,
993,25,
572,225,
127,657,
409,177,
352,674,
850,870,
125,142,
125,354,
545,183,
972,242,
755,38,
952,540,
142,4,
810,230,
77,606,
39,337,
672,633,
226,221,
597,460,
283,693,
352,191,
351,572,
179,60,
166,221,
30,35,
325,181,
249,223,
168,35,
800,872,
458,813,
58,664,
338,183,
759,516,
686,371,
427,282,
85,221,
356,189,
536,539,
183,133,
762,982,
699,913,
547,54,
331,852,
210,365,
387,115,
611,430,
807,980,
278,168,
374,505,
635,362,
373,528,
169,263,
548,109,
132,552,
44,82,
466,851,
914,639,
747,162,
986,935,
983,686,
419,113,
63,175,
1000,111,
339,29,
660,230,
649,246,
630,820,
645,764,
438,910,
206,201,
55,326,
19,142,
881,858,
931,248,
499,502,
280,59,
171,823,
685,845,
706,828,
816,470,
660,931,
212,128,
807,704,
47,847,
353,661,
424,589,
342,800,
813,526,
747,456,
357,91,
236,154,
906,759,
271,273,
917,200,
485,882,
274,46,
661,823,
193,462,
721,828,
166,799,
332,287,
440,64,
175,454,
468,812,
411,166,
309,471,
255,508,
221,222,
331,882,
87,545,
31,96,
377,283,
340,473,
178,679,
125,768,
540,109,
146,85,
675,258,
331,707,
559,246,
514,12,
547,374,
796,774,
218,311,
458,280,
113,556,
467,415,
29,39,
197,630,
393,957,
891,884,
337,351,
122,876,
764,1004,
473,573,
339,533,
502,407,
160,589,
623,986,
630,144,
647,948,
427,213,
70,431,
327,128,
824,306,
121,570,
487,558,
952,146,
321,283,
803,998,
21,467,
314,215,
422,87,
833,956,
167,426,
5,281,
178,194,
557,205,
720,9,
40,24,
354,278,
466,529,
940,903,
390,498,
981,113,
160,103,
530,289,
230,74,
840,276,
323,97,
405,158,
28,339,
820,420,
48,36,
145,267,
979,522,
121,86,
409,581,
14,203,
168,399,
32,165,
719,393,
166,249,
151,34,
515,6,
372,174,
317,255,
19,674,
278,257,
823,112,
167,526,
36,735,
270,909,
173,87,
362,86,
907,299,
312,473,
459,498,
249,179,
551,21,
134,133,
985,130,
738,79,
283,21,
917,626,
419,816,
533,15,
8,7,
513,531,
771,731,
113,444,
340,552,
310,78,
301,581,
18,883,
134,598,
116,987,
65,434,
166,86,
233,58,
975,147,
609,340,
56,610,
302,183,
292,264,
570,938,
444,847,
371,210,
355,580,
711,952,
237,162,
520,152,
438,39,
657,261,
252,305,
728,89,
691,286,
181,182,
72,656,
238,440,
198,129,
233,237,
474,256,
851,756,
361,114,
855,155,
443,346,
319,867,
974,408,
371,168,
93,687,
786,892,
949,541,
544,282,
364,978,
295,111,
290,86,
345,17,
536,473,
656,251,
426,955,
347,970,
167,130,
204,776,
747,615,
506,56,
395,469,
188,264,
568,426,
813,544,
367,888,
420,920,
921,570,
970,640,
434,760,
170,415,
684,0,
217,162,
883,718,
513,566,
832,586,
377,106,
297,799,
245,187,
81,137,
684,541,
273,590,
296,387,
691,381,
565,668,
353,125,
243,271,
905,332,
176,238,
744,389,
795,38,
211,121,
156,846,
213,633,
593,200,
283,234,
83,393,
170,40,
301,35,
27,93,
243,705,
91,758,
454,318,
919,316,
669,64,
832,58,
107,809,
412,137,
256,179,
139,699,
766,561,
481,63,
426,137,
62,128,
687,284,
414,370,
543,399,
1001,272,
786,680,
129,748,
589,105,
235,737,
158,572,
436,76,
545,27,
237,831,
515,440,
86,229,
400,160,
720,804,
253,409,
328,581,
711,50,
465,519,
842,252,
105,203,
584,620,
113,280,
936,860,
257,130,
241,184,
46,63,
206,290,
278,342,
128,51,
323,98,
460,462,
572,74,
922,822,
250,784,
504,341,
60,177,
643,844,
336,766,
995,371,
29,169,
366,957,
183,159,
377,982,
182,320,
367,338,
123,165,
528,167,
53,704,
373,515,
289,975,
823,740,
20,715,
211,532,
820,78,
707,177,
438,937,
280,113,
64,51,
726,496,
213,525,
631,731,
806,942,
138,254,
933,1004,
189,21,
61,393,
244,367,
734,980,
810,77,
